2.04 75.6
2.07 117
2.12 170
2.16 240
2.21 347
2.28 468
2.35 478
2.40 333
2.45 227
2.53 185
2.61 150
2.68 112
2.75 84.0
2.83 74.3
2.92 66.6
3.00 60.5
3.08 56.6
3.17 60.3
3.25 65.1
3.34 67.5
3.38 68.4
3.56 77.4
3.68 85.1
3.75 70.8
3.81 48.3
3.86 34.1
3.92 24.1
3.98 16.7
4.04 12.1
4.13 9.69
4.21 7.79
4.29 6.27
4.38 5.04
4.46 4.38
4.55 4.36
4.63 4.38
4.71 4.07
4.80 3.45
4.88 2.89
4.96 2.59
5.05 2.61
5.13 2.52
5.21 2.40
5.30 2.06
5.38 1.69
5.46 1.40
5.55 1.16
5.63 0.985
5.72 0.836
5.80 0.710
5.88 0.645
5.97 0.643
6.05 0.688
6.13 0.814
6.22 0.929
6.30 1.04
6.39 1.18
6.47 1.31
6.55 1.32
6.64 1.31
6.72 1.28
6.80 1.24
6.89 1.20
6.97 1.14
7.05 0.985
7.14 0.803
7.22 0.657
7.31 0.556
7.39 0.472
7.47 0.400
7.56 0.340
7.64 0.318
7.72 0.318
7.81 0.318
7.89 0.318
7.96 0.320
