2.05 0.654
2.13 0.459
2.20 0.316
2.22 0.275
2.26 0.459
2.29 0.672
2.33 1.04
2.42 1.34
2.47 1.86
2.50 3.25
2.53 5.27
2.56 8.50
2.60 13.3
2.68 18.5
2.76 19.8
2.83 14.0
2.90 10.1
2.98 8.81
3.07 9.92
3.15 9.05
3.23 6.99
3.30 6.88
3.35 10.1
3.40 14.1
3.44 19.5
3.48 27.1
3.52 37.6
3.57 53.1
3.61 77.5
3.65 106
3.71 157
3.76 161
3.84 128
3.92 98.9
4.01 78.1
4.09 83.2
4.17 96.3
4.26 110
4.34 128
4.42 147
4.51 144
4.59 139
4.68 136
4.76 148
4.84 165
4.93 184
5.01 189
5.09 202
5.18 219
5.26 235
5.35 244
5.43 252
5.51 260
5.60 252
5.68 235
5.76 217
5.85 199
5.93 158
6.01 121
6.10 91.1
6.18 72.9
6.27 67.2
6.35 61.1
6.43 56.0
6.52 53.6
6.60 55.8
6.68 58.6
6.77 61.4
6.85 65.1
6.94 76.3
7.02 88.3
7.10 87.5
7.19 87.5
7.27 83.6
7.35 78.5
7.44 73.3
7.52 68.8
7.60 64.5
7.69 61.4
7.77 58.6
7.86 55.8
7.94 53.3
7.99 52.1
