field id candels_id lwa lwa_hci lwa_modality Av Av_hci Av_modality Z Z_hci Z_modality lmass lmass_hci lmass_modality zgrism z_50 z_50_hci z_50_modality t_50 t_50_hci t_50_modality log_ssfr log_ssfr_hci log_ssfr_modality
GSD 39241 21926 3.5468331403529882 "[3.302629316366392, 3.809821873877015]" [0.] 0.26478481000025644 "[0.22388931722021327, 0.30301320542507937]" [0.] 0.564897834695153 "[0.4935931914153088, 0.6405239715071088]" [0.] 11.105052536422946 "[11.08657254280022, 11.123532530045672]" [0.] 1.0237891703736695 3.918375460273562 "[3.23304712 4.13990159]" [0.] 4.1881629672418335 "[3.792358452456374, 4.288736362484641]" [0.] -12.047310779101714 "[-12.239665154775281, -11.871928848340524]" [0.]
GSD 39631 21772 3.6697481393663147 "[3.382866481421825, 3.8687144505213644]" [0.17607034] 0.24930513974241314 "[0.21795210285217748, 0.36359201614875625]" "[0.06258381 0.03536863 0.36965615]" 0.4067274140183022 "[0.3403232905989555, 0.5009784279038265]" "[0.08654123 0.13847846 0.15006001]" 10.898148813629952 "[10.871716231862319, 10.913381148885875]" [0.30970801] 1.0288015498097398 4.253509637899398 "[3.12573648 4.99341095]" [0.] 4.316501411628701 "[3.6957251244832268, 4.5725909770357]" [0.] -13.261452845768769 "[-13.637640328173529, -12.314266506142502]" [0.]
GSD 39805 21913 3.1992813850342534 "[2.8931781137725583, 3.658436291926796]" [0.] 0.07530586054049122 "[0.03352871851680251, 0.17614723783905023]" [0.] 1.2839656282442937 "[1.1821135801289384, 1.510027491134473]" [0.] 10.639949765374634 "[10.620772063787419, 10.67770586537447]" [0.] 1.156102384540988 5.38543732552834 "[3.97103714 6.11284666]" [0.] 4.210653683323571 "[3.7249601018051766, 4.370274428877609]" [0.] -12.025575255412797 "[-12.402775145010722, -11.716395018037446]" [0.]
GSD 40597 22694 1.9294253454865151 "[1.7742785073594405, 2.104591130468696]" [0.] 0.5172600584341673 "[0.4691266665314682, 0.5678618294087998]" [0.] 0.4024965853887 "[0.3354265001603807, 0.47493227743528477]" [0.] 11.145395121477456 "[11.121248165143406, 11.168492210144812]" [0.] 1.218653386499736 2.4249328859938992 "[2.18338572 2.50804741]" [0.] 2.367590924624553 "[2.0603901214995903, 2.461570851806363]" [0.] -12.097731125051848 "[-12.80231210908062, -11.74830478337904]" [0.]
GSD 40623 22303 3.636021932455443 "[3.44745183977623, 3.8188777799019533]" [0.] 0.05178450901419315 "[0.007101028615687193, 0.0828686692914147]" [0.] 1.3490347686060946 "[1.2926332085517858, 1.47593827872829]" [0.] 11.03565889407081 "[11.023195950986057, 11.052544171798534]" [0.] 1.4142586534540174 9.395576765415585 "[ 7.61400376 10.62736818]" [0.] 3.983232180690458 "[3.8153592260816405, 4.062937173905349]" [0.] -11.882756423919329 "[-12.07167791383442, -11.672843657347004]" [0.]
GSD 41148 22598 1.6658365318467918 "[1.473773978980455, 1.8957295875504374]" [0.] 0.33229587469669847 "[0.25739858438250324, 0.40844145318279707]" [0.] 1.42557695467328 "[1.269400646804497, 1.5246155889315325]" [0.] 11.222589735840492 "[11.196152866622196, 11.258766504244477]" [0.] 1.7629528920375597 4.159086767883913 "[3.52772601 4.75822418]" [0.] 2.2320345566126214 "[1.9157542494136552, 2.454863966763906]" [0.] -11.76005107460107 "[-12.120856736568046, -11.483433400426387]" [0.]
GSD 44042 26712 1.6866623219150139 "[1.5225170287886298, 1.9164657322919512]" [0.] 0.6270535816966949 "[0.5650480444755563, 0.6964407304917786]" [0.] 0.4082748631743832 "[0.3211270852272321, 0.5215669745056797]" [0.] 11.217173488206521 "[11.181889919210398, 11.24351855305696]" [0.] 1.615989773422704 3.3933387943803655 "[3.03750246 3.72357094]" [0.] 2.1386574213845964 "[1.8885311624498518, 2.3300004947993354]" [0.] -11.153042167712531 "[-11.291740642447785, -11.00602178449316]" [0.]
GND 12739 9022 1.8714308946819442 "[1.6147617386097246, 2.701831105503831]" [0.] 0.0019998971651701367 "[0.0019998971651701367, 0.07318604746443928]" [0.97487321] 0.6518571858214945 "[0.45240883463516024, 1.0102861067940374]" [0.] 10.40984788161411 "[10.343296793160402, 10.439426143149092]" [0.] 1.2058512824891288 4.089010513102093 "[2.95413969 5.40945013]" [0.] 3.6116652184197138 "[2.9269322003875478, 4.049843294228264]" [0.] -11.580170027949446 "[-12.14395045051018, -11.16208566964598]" [0.]
GND 14132 10159 1.3083477312427876 "[1.2098320200083212, 1.5081938883184187]" [0.] 0.002335184695145669 "[0.002335184695145669, 0.0324948177152569]" [4.5831613] 1.4523025288743956 "[1.357142100451145, 1.577370520516382]" [0.] 11.019349958524225 "[10.994594050968615, 11.04644132905678]" [0.] 2.017288506073754 4.6085652361550915 "[3.93438583 5.00877685]" [0.] 1.9587172088885019 "[1.6849034128310043, 2.0859528104578366]" [0.] -11.297692929691088 "[-11.630654540821158, -11.030134492175854]" [0.]
GND 15616 11105 2.2314998904005137 "[1.918482185335317, 2.4880717797982155]" [0.] 0.0016313289003625322 "[0.0016313289003625322, 0.1351918474990838]" [0.] 1.2436844184318834 "[1.0631907934294147, 1.5552213602169664]" [0.] 10.426838888116507 "[10.3881894424295, 10.452423732444522]" [0.] 1.2177291568486757 2.969752367076542 "[2.41777059 3.3485557 ]" [0.] 2.9010886389761272 "[2.3622159492285735, 3.1764047889822917]" [0.] -12.019934194834946 "[-12.556819122483459, -11.647775324533136]" [0.]
